date,district,crop_type,price,rainfall,temperature,humidity
2022-01-04,Aurangabad,Wheat,1550.84,1.05,15.77,61.85
2022-01-04,Pune,Maize,1536.06,0.58,18.21,56.69
2022-01-04,Pune,Rice,1688.99,0.99,20.07,66.94
2022-01-04,Kolhapur,Maize,2346.03,0.25,17.55,55.27
2022-01-04,Pune,Soybean,1428.69,0.8,16.07,56.78
2022-01-04,Pune,Wheat,1227.15,1.7,20.39,60.31
2022-01-05,Nashik,Cotton,1495.96,0.47,18.92,68.55
2022-01-05,Kolhapur,Rice,1749.13,1.04,,50.57
2022-01-05,Kolhapur,Cotton,1811.0,0.39,17.55,62.7
2022-01-05,Kolhapur,Maize,2257.47,0.58,21.34,72.09
2022-01-05,Nagpur,Wheat,1170.07,0.96,16.77,
2022-01-05,Aurangabad,Maize,1329.43,1.47,18.49,60.34
2022-01-05,Kolhapur,Wheat,2213.32,0.37,15.16,56.47
2022-01-05,Pune,Rice,,1.77,16.35,61.94
2022-01-05,Nagpur,Cotton,1875.76,1.52,18.9,65.58
2022-01-05,Aurangabad,Soybean,1812.18,0.93,19.41,71.98
2022-01-05,Pune,Soybean,1429.49,0.23,18.3,51.7
2022-01-05,Aurangabad,Wheat,1218.07,0.11,18.15,67.21
2022-01-05,Pune,Maize,1653.64,0.13,16.93,66.55
2022-01-05,Aurangabad,Rice,1872.74,0.25,17.64,67.67
2022-01-05,Nagpur,Soybean,2308.94,,17.82,59.96
2022-01-05,Nashik,Wheat,1934.46,0.23,18.51,71.1
2022-01-05,Nagpur,Maize,2276.76,0.69,17.82,63.8
2022-01-05,Nashik,Maize,1544.04,1.02,17.82,60.03
2022-01-05,Aurangabad,Cotton,1461.53,0.91,16.72,58.54
2022-01-05,Nashik,Soybean,1792.87,0.82,15.75,64.8
2022-01-05,Kolhapur,Soybean,1599.03,1.21,15.42,59.94
2022-01-05,Pune,Wheat,1356.51,0.48,16.92,51.97
2022-01-05,Nashik,Rice,1675.26,1.68,18.09,55.8
2022-01-05,Pune,Cotton,2563.24,0.17,17.82,55.72
2022-01-05,Nagpur,Rice,1755.82,1.62,17.99,58.37
2022-01-06,Kolhapur,Maize,2238.05,0.19,19.06,
2022-01-06,Aurangabad,Soybean,1840.04,2.41,17.61,56.52
2022-01-06,Kolhapur,Wheat,2176.64,0.84,17.07,54.42
2022-01-06,Pune,Rice,1487.1,0.54,21.77,
2022-01-06,Pune,Maize,1750.71,0.67,12.51,59.16
2022-01-06,Kolhapur,Soybean,1527.87,2.53,18.57,61.1
2022-01-06,Nagpur,Wheat,1267.34,0.26,19.01,57.35
2022-01-06,Nagpur,Rice,1618.51,0.3,18.39,61.56
2022-01-06,Nagpur,Soybean,2155.64,1.14,16.19,59.04
2022-01-06,Aurangabad,Wheat,1564.4,0.85,15.45,62.04
2022-01-06,Nashik,Soybean,1949.65,0.98,18.72,57.54
2022-01-06,Pune,Wheat,1334.38,2.1,16.97,57.65
2022-01-06,Aurangabad,Cotton,1689.21,0.02,18.17,57.11
2022-01-06,Nashik,Wheat,2175.02,1.19,19.49,62.8
2022-01-06,Aurangabad,Rice,2074.72,2.09,14.33,63.89
2022-01-06,Pune,Soybean,1535.85,,,59.23
2022-01-06,Nashik,Rice,1860.75,0.1,18.0,68.96
2022-01-06,Nagpur,Cotton,1840.28,1.49,17.36,60.02
2022-01-06,Pune,Cotton,2344.79,1.21,17.57,58.53
2022-01-06,Nashik,Maize,1481.74,0.4,12.27,53.78
2022-01-06,Aurangabad,Maize,1363.97,0.18,17.54,54.93
2022-01-06,Nashik,Cotton,1370.06,2.0,17.19,65.73
2022-01-06,Kolhapur,Rice,1769.63,0.05,16.95,61.98
2022-01-06,Nagpur,Maize,2291.64,0.29,14.85,61.94
2022-01-06,Kolhapur,Cotton,1827.71,0.48,15.91,56.38
2022-01-07,Nagpur,Soybean,2259.69,2.83,16.37,70.05
2022-01-07,Pune,Cotton,2473.24,1.18,17.44,62.0
2022-01-07,Kolhapur,Wheat,2231.94,2.67,15.04,62.73
2022-01-07,Aurangabad,Wheat,1287.91,2.58,19.12,64.24
2022-01-07,Nashik,Wheat,2117.93,2.02,16.67,72.0
2022-01-07,Kolhapur,Soybean,1557.44,,17.4,69.15
2022-01-07,Nashik,Rice,1768.35,7.62,15.62,60.21
2022-01-07,Aurangabad,Rice,1843.71,1.1,14.95,42.33
2022-01-07,Pune,Wheat,1243.8,2.03,20.65,66.44
2022-01-07,Aurangabad,Cotton,1661.81,0.06,18.33,65.05
2022-01-07,Pune,Soybean,1480.27,0.91,18.76,59.98
2022-01-07,Kolhapur,Cotton,1831.1,0.77,18.16,58.73
2022-01-07,Nagpur,Cotton,1944.1,0.39,13.98,65.8
2022-01-07,Aurangabad,Maize,1324.95,0.99,14.35,57.63
2022-01-07,Nashik,Cotton,1413.93,0.07,17.46,60.33
2022-01-07,Kolhapur,Rice,,0.08,17.16,53.88
2022-01-07,Nashik,Maize,1443.12,0.43,15.75,65.58
2022-01-07,Nagpur,Maize,2159.83,0.72,16.6,59.5
2022-01-07,Nashik,Soybean,1829.2,0.23,14.54,58.54
2022-01-07,Kolhapur,Maize,2364.06,0.2,20.17,66.18
2022-01-07,Pune,Rice,1588.12,0.3,18.69,63.86
2022-01-07,Nagpur,Rice,1807.78,0.59,18.03,63.61
2022-01-07,Aurangabad,Soybean,1740.93,0.03,18.67,66.93
2022-01-07,Pune,Maize,1798.72,0.98,17.1,57.94
2022-01-07,Nagpur,Wheat,1183.25,0.66,17.17,69.87
2022-01-08,Kolhapur,Rice,1762.39,0.4,22.93,56.54
2022-01-08,Nagpur,Wheat,1189.26,0.38,16.42,48.35
2022-01-08,Kolhapur,Cotton,1880.84,0.6,20.86,66.14
2022-01-08,Aurangabad,Cotton,1714.59,0.02,14.1,64.41
2022-01-08,Kolhapur,Wheat,2205.74,4.64,19.7,60.33
2022-01-08,Pune,Rice,1629.64,2.02,15.7,61.92
2022-01-08,Nashik,Maize,1476.78,1.44,,60.35
2022-01-08,Nashik,Soybean,1848.6,1.75,19.11,54.82
2022-01-08,Nashik,Rice,1829.15,0.93,18.7,57.47
2022-01-08,Nashik,Cotton,1350.44,0.81,16.45,55.48
2022-01-08,Pune,Soybean,1588.08,2.59,19.24,65.9
2022-01-08,Pune,Wheat,1432.9,1.64,19.08,69.39
2022-01-08,Nagpur,Cotton,1750.46,0.13,18.55,54.06
2022-01-08,Aurangabad,Maize,1401.91,0.03,16.22,62.44
2022-01-08,Nagpur,Maize,2128.11,0.12,16.18,
2022-01-08,Kolhapur,Maize,2335.45,0.67,19.21,64.34
2022-01-08,Nagpur,Rice,1705.78,1.33,17.58,57.57
2022-01-08,Aurangabad,Rice,1975.36,0.08,19.34,57.34
2022-01-08,Pune,Maize,1653.93,1.76,15.67,58.48
2022-01-08,Nagpur,Soybean,2079.54,0.37,17.22,59.85
2022-01-08,Nashik,Wheat,2166.51,0.28,14.65,
2022-01-08,Pune,Cotton,2404.46,0.61,18.37,64.9
2022-01-08,Kolhapur,Soybean,1526.56,3.47,17.09,56.65
2022-01-08,Aurangabad,Soybean,1688.51,0.82,20.8,56.98
2022-01-08,Aurangabad,Wheat,1539.3,1.91,16.76,62.25
2022-01-09,Nashik,Cotton,1477.53,3.37,19.56,65.92
2022-01-09,Pune,Soybean,1558.45,2.53,18.85,57.26
2022-01-09,Aurangabad,Rice,1916.28,0.1,20.29,64.78
2022-01-09,Kolhapur,Cotton,1929.97,0.3,20.4,53.79
2022-01-09,Kolhapur,Soybean,1698.18,0.27,18.06,53.71
2022-01-09,Kolhapur,Maize,2304.67,3.22,19.48,
2022-01-09,Nashik,Maize,1582.33,0.76,16.79,61.59
2022-01-09,Nagpur,Soybean,2179.8,0.16,14.95,61.42
2022-01-09,Kolhapur,Rice,1763.11,0.54,17.77,60.63
2022-01-09,Nagpur,Rice,2023.14,3.63,15.89,62.61
2022-01-09,Aurangabad,Maize,1393.61,0.49,16.84,56.69
2022-01-09,Pune,Rice,1571.92,1.11,13.55,64.69
2022-01-09,Aurangabad,Cotton,1633.1,1.46,14.18,68.55
2022-01-09,Pune,Wheat,1289.14,1.56,16.66,55.08
2022-01-09,Nashik,Soybean,1771.63,0.96,18.66,62.08
2022-01-09,Nagpur,Maize,2257.06,0.49,14.08,64.28
2022-01-09,Nagpur,Cotton,1742.42,0.46,19.03,52.1
2022-01-09,Kolhapur,Wheat,2282.18,0.55,18.68,61.08
2022-01-09,Aurangabad,Soybean,1572.34,0.15,15.62,65.4
2022-01-09,Pune,Maize,1643.0,1.14,17.47,65.84
2022-01-09,Nagpur,Wheat,1317.7,0.67,18.91,59.99
2022-01-09,Nashik,Rice,1708.13,1.92,14.62,65.26
2022-01-09,Nashik,Wheat,2087.03,0.21,14.84,62.15
2022-01-09,Aurangabad,Wheat,1415.96,1.9,16.01,59.6
2022-01-09,Pune,Cotton,2410.34,0.15,16.74,61.01
2022-01-10,Nagpur,Cotton,1949.88,0.23,16.51,60.72
2022-01-10,Nagpur,Soybean,2390.31,,19.63,62.76
2022-01-10,Aurangabad,Wheat,1409.2,0.36,13.58,62.53
2022-01-10,Aurangabad,Rice,2019.37,0.76,17.37,58.44
2022-01-10,Kolhapur,Soybean,1619.54,0.19,19.97,54.83
2022-01-10,Pune,Wheat,1392.25,0.36,18.75,57.33
2022-01-10,Nagpur,Maize,2392.99,0.59,18.14,59.97
2022-01-10,Nashik,Maize,1632.83,0.1,16.33,57.29
2022-01-10,Pune,Maize,1727.08,0.07,17.61,62.13
2022-01-10,Nagpur,Rice,1751.12,0.18,16.24,
2022-01-10,Aurangabad,Soybean,1783.33,0.55,20.25,56.35
2022-01-10,Kolhapur,Maize,2386.12,0.9,17.76,63.44
2022-01-10,Aurangabad,Maize,1379.23,0.61,18.19,68.36
2022-01-10,Pune,Cotton,2353.34,0.38,16.69,66.73
2022-01-10,Nashik,Soybean,1843.05,1.04,21.77,40.99
2022-01-10,Pune,Rice,1373.06,,19.28,58.5
2022-01-10,Kolhapur,Cotton,1899.62,5.9,18.39,62.47
2022-01-10,Aurangabad,Cotton,1503.63,0.03,19.37,55.96
2022-01-10,Nashik,Cotton,1443.94,0.11,18.6,50.5
2022-01-10,Nashik,Rice,1765.3,0.07,16.35,65.21
2022-01-10,Kolhapur,Rice,1834.86,0.56,18.86,59.51
2022-01-10,Pune,Soybean,1429.69,0.34,19.81,57.6
2022-01-10,Nashik,Wheat,1891.72,1.11,18.51,61.86
2022-01-10,Kolhapur,Wheat,2256.13,0.56,19.9,58.63
2022-01-10,Nagpur,Wheat,1039.77,,18.72,68.04
2022-01-11,Nagpur,Soybean,2074.43,4.19,17.36,60.41
2022-01-11,Aurangabad,Cotton,1425.43,0.1,15.63,56.99
2022-01-11,Nagpur,Rice,1805.71,1.02,18.39,62.63
2022-01-11,Kolhapur,Maize,2314.74,1.92,20.61,71.97
2022-01-11,Nashik,Maize,1510.93,0.17,16.14,74.36
2022-01-11,Aurangabad,Soybean,1799.27,0.76,12.96,61.17
2022-01-11,Pune,Maize,1871.48,0.37,18.5,69.07
2022-01-11,Kolhapur,Cotton,1705.11,1.89,16.02,56.09
2022-01-11,Nashik,Wheat,2185.59,0.97,20.32,58.6
2022-01-11,Nagpur,Maize,2217.63,1.22,17.29,66.6
2022-01-11,Pune,Wheat,1386.49,0.08,16.8,59.94
2022-01-11,Pune,Cotton,2500.88,0.39,20.48,57.0
2022-01-11,Pune,Soybean,1326.15,1.33,20.14,56.44
2022-01-11,Nashik,Cotton,1384.56,0.78,19.73,63.2
2022-01-11,Aurangabad,Maize,1310.5,3.61,17.78,65.34
2022-01-11,Nagpur,Wheat,1121.62,0.25,15.07,57.11
2022-01-11,Kolhapur,Soybean,1553.43,0.12,17.01,58.96
2022-01-11,Nagpur,Cotton,1915.13,1.3,14.45,67.1
2022-01-11,Aurangabad,Rice,2002.23,1.39,14.77,55.9
2022-01-11,Aurangabad,Wheat,1553.88,1.21,19.89,69.48
2022-01-11,Kolhapur,Rice,1744.29,1.13,13.68,57.34
2022-01-11,Nashik,Soybean,1723.18,0.69,21.33,52.85
2022-01-11,Nashik,Rice,1784.88,0.49,,53.38
2022-01-11,Pune,Rice,1652.45,0.67,16.98,56.66
2022-01-11,Kolhapur,Wheat,2291.56,0.17,15.66,59.61
2022-01-12,Nagpur,Cotton,1876.54,0.61,20.98,62.97
2022-01-12,Nashik,Rice,,1.11,20.91,55.42
2022-01-12,Aurangabad,Maize,1208.08,0.09,14.34,71.64
2022-01-12,Nagpur,Maize,2400.98,0.51,17.87,59.91
2022-01-12,Pune,Soybean,1584.14,1.49,20.24,60.1
2022-01-12,Kolhapur,Maize,2226.9,2.77,12.13,64.35
2022-01-12,Pune,Cotton,2415.39,1.21,18.91,55.26
2022-01-12,Nagpur,Rice,1826.31,1.7,13.66,56.68
2022-01-12,Pune,Rice,1655.61,0.23,17.48,64.24
2022-01-12,Nagpur,Wheat,,0.51,17.16,62.21
2022-01-12,Nashik,Wheat,1997.21,0.59,14.16,64.27
2022-01-12,Nashik,Soybean,1737.35,2.4,16.19,62.38
2022-01-12,Nagpur,Soybean,2203.1,0.04,16.41,58.5
2022-01-12,Kolhapur,Wheat,2294.69,0.69,15.0,69.32
2022-01-12,Pune,Wheat,1311.47,0.52,16.86,
2022-01-12,Kolhapur,Rice,1691.44,0.0,16.14,67.6
2022-01-12,Kolhapur,Soybean,1673.69,,18.54,59.74
2022-01-12,Nashik,Cotton,1472.97,0.14,18.0,55.61
2022-01-12,Aurangabad,Cotton,,0.93,17.81,69.02
2022-01-12,Kolhapur,Cotton,1782.43,0.27,21.32,54.27
2022-01-12,Pune,Maize,1599.23,0.34,16.73,59.2
2022-01-12,Nashik,Maize,1634.42,,15.72,62.14
2022-01-12,Aurangabad,Soybean,1691.7,1.56,16.69,64.11
2022-01-12,Aurangabad,Wheat,1496.0,1.51,18.18,54.61
2022-01-12,Aurangabad,Rice,,1.03,18.19,56.62
2022-01-13,Aurangabad,Cotton,1554.05,0.64,14.84,67.14
2022-01-13,Nashik,Wheat,2007.25,0.1,15.82,65.83
2022-01-13,Nashik,Soybean,1858.16,1.18,20.33,47.82
2022-01-13,Nagpur,Maize,2359.96,1.09,19.52,60.2
2022-01-13,Pune,Rice,1683.79,0.99,19.39,56.57
2022-01-13,Nagpur,Rice,1771.73,0.03,20.13,61.19
2022-01-13,Kolhapur,Soybean,1635.94,0.82,18.28,48.66
2022-01-13,Aurangabad,Wheat,1617.85,2.32,18.36,59.57
2022-01-13,Pune,Cotton,2429.7,0.12,19.51,61.64
2022-01-13,Kolhapur,Maize,2405.03,0.09,19.0,51.17
2022-01-13,Aurangabad,Rice,,1.13,19.24,64.19
2022-01-13,Nashik,Cotton,1440.93,2.21,14.28,65.54
2022-01-13,Pune,Soybean,1585.57,1.65,13.34,51.36
2022-01-13,Pune,Wheat,1341.91,0.19,18.34,56.1
2022-01-13,Nagpur,Soybean,2250.83,0.2,18.42,49.55
2022-01-13,Kolhapur,Cotton,1961.94,2.23,19.98,59.42
2022-01-13,Nagpur,Wheat,1185.25,0.59,15.51,66.2
2022-01-13,Aurangabad,Soybean,1743.98,6.27,18.17,67.84
2022-01-13,Kolhapur,Wheat,2248.45,2.81,21.37,67.97
2022-01-13,Nashik,Maize,1656.13,6.73,18.91,61.81
2022-01-13,Pune,Maize,1700.69,2.47,17.05,66.28
2022-01-13,Kolhapur,Rice,1804.62,3.2,18.9,54.92
2022-01-13,Aurangabad,Maize,1493.72,1.39,16.21,55.28
2022-01-13,Nashik,Rice,1786.24,0.11,17.4,61.48
2022-01-13,Nagpur,Cotton,1846.11,0.26,18.48,59.61
2022-01-14,Nashik,Soybean,1873.75,,17.28,71.81
2022-01-14,Aurangabad,Cotton,1480.3,0.46,17.27,55.41
2022-01-14,Nagpur,Maize,2502.68,0.19,17.94,62.01
2022-01-14,Nagpur,Rice,1817.28,1.67,17.15,67.02
2022-01-14,Pune,Rice,1601.89,0.44,19.95,63.57
2022-01-14,Nashik,Maize,1620.7,0.41,14.35,54.53
2022-01-14,Nashik,Rice,1865.16,0.67,22.26,72.26
2022-01-14,Aurangabad,Wheat,1702.17,0.31,19.59,55.98
2022-01-14,Kolhapur,Soybean,1723.37,0.32,17.08,56.82
2022-01-14,Nagpur,Cotton,1913.99,1.07,20.05,62.75
2022-01-14,Pune,Wheat,1335.26,1.19,14.1,63.07
2022-01-14,Nagpur,Soybean,2159.4,1.95,18.7,
2022-01-14,Kolhapur,Rice,1553.18,0.19,14.7,52.74
2022-01-14,Nashik,Wheat,2085.84,0.1,17.26,53.09
2022-01-14,Nagpur,Wheat,1345.59,0.88,14.59,60.09
2022-01-14,Pune,Cotton,2540.08,1.77,20.38,61.03
2022-01-14,Kolhapur,Wheat,2256.87,0.18,16.33,52.45
2022-01-14,Nashik,Cotton,1486.51,0.89,16.49,64.73
2022-01-14,Aurangabad,Soybean,1637.2,0.82,17.81,53.25
2022-01-14,Aurangabad,Rice,1879.41,0.85,16.01,54.94
2022-01-14,Kolhapur,Maize,2299.51,0.18,18.89,59.27
2022-01-14,Pune,Maize,1750.15,2.02,19.33,66.02
2022-01-14,Aurangabad,Maize,1214.32,,20.48,48.92
2022-01-14,Kolhapur,Cotton,1701.06,0.88,14.97,56.42
2022-01-14,Pune,Soybean,1371.04,0.85,18.39,56.66
2022-01-15,Kolhapur,Wheat,2309.96,0.31,18.19,57.2
2022-01-15,Aurangabad,Rice,1962.6,2.13,15.02,63.47
2022-01-15,Nashik,Wheat,2187.09,1.5,13.92,
2022-01-15,Kolhapur,Soybean,1653.5,0.38,16.83,54.47
2022-01-15,Kolhapur,Rice,1802.0,0.29,19.1,62.52
2022-01-15,Aurangabad,Cotton,1449.39,0.44,18.43,55.88
2022-01-15,Nagpur,Rice,1966.27,1.56,18.81,64.61
2022-01-15,Nashik,Rice,1878.99,0.58,19.61,66.7
2022-01-15,Kolhapur,Cotton,,0.01,14.49,58.64
2022-01-15,Pune,Rice,1601.03,5.44,20.45,64.5
2022-01-15,Aurangabad,Soybean,1674.97,0.56,20.06,56.05
2022-01-15,Nagpur,Soybean,2135.3,1.16,17.39,50.78
2022-01-15,Nashik,Soybean,1825.35,0.27,18.61,55.78
2022-01-15,Nagpur,Wheat,1321.29,0.08,17.67,66.96
2022-01-15,Pune,Wheat,1197.29,0.42,14.55,57.97
2022-01-15,Pune,Cotton,2547.75,1.43,19.06,63.86
2022-01-15,Aurangabad,Wheat,1377.25,1.43,,57.44
2022-01-15,Nashik,Cotton,1375.94,0.27,20.01,57.39
2022-01-15,Nashik,Maize,1529.17,0.49,15.82,63.03
2022-01-15,Pune,Soybean,1604.57,0.01,16.16,63.16
2022-01-15,Aurangabad,Maize,1268.9,0.32,17.41,59.2
2022-01-15,Nagpur,Cotton,1894.94,0.07,17.28,52.23
2022-01-15,Kolhapur,Maize,2417.89,0.34,16.27,55.04
2022-01-15,Nagpur,Maize,2339.19,0.03,17.34,66.98
2022-01-15,Pune,Maize,1669.16,0.46,16.39,63.74
2022-01-16,Pune,Wheat,1296.9,3.71,16.96,62.9
2022-01-16,Aurangabad,Cotton,1511.25,1.96,13.96,62.84
2022-01-16,Pune,Maize,,0.07,14.4,57.51
2022-01-16,Kolhapur,Rice,1877.92,2.36,16.63,58.76
2022-01-16,Aurangabad,Maize,1306.89,0.26,15.31,54.54
2022-01-16,Kolhapur,Cotton,1986.75,0.42,15.23,63.53
2022-01-16,Nagpur,Maize,2276.96,0.71,19.93,66.45
2022-01-16,Kolhapur,Wheat,,2.22,16.55,52.29
2022-01-16,Aurangabad,Soybean,1620.58,0.71,15.02,57.95
2022-01-16,Pune,Soybean,1517.89,1.43,20.19,55.02
2022-01-16,Nashik,Cotton,1427.39,0.37,,64.96
2022-01-16,Nashik,Wheat,2164.58,0.6,17.89,68.6
2022-01-16,Pune,Cotton,2409.94,0.21,19.94,60.03
2022-01-16,Kolhapur,Maize,2390.18,,18.77,53.77
2022-01-16,Pune,Rice,1754.55,0.65,15.73,48.88
2022-01-16,Nagpur,Soybean,2305.03,0.55,16.92,66.74
2022-01-16,Aurangabad,Wheat,1490.22,0.26,16.24,66.33
2022-01-16,Nashik,Rice,1808.6,0.24,18.98,58.95
2022-01-16,Kolhapur,Soybean,,3.0,16.06,67.36
2022-01-16,Nashik,Maize,1561.53,0.17,18.15,56.37
2022-01-16,Aurangabad,Rice,1960.55,2.27,18.61,60.38
2022-01-16,Nagpur,Wheat,1299.24,0.23,,60.0
2022-01-16,Nagpur,Cotton,,2.5,17.77,64.21
2022-01-16,Nagpur,Rice,,2.57,20.47,60.8
2022-01-16,Nashik,Soybean,1887.74,0.07,21.52,62.48
2022-01-17,Nashik,Maize,1631.01,0.27,20.1,57.96
2022-01-17,Aurangabad,Soybean,1751.31,0.92,19.33,63.82
2022-01-17,Pune,Soybean,1503.65,0.11,13.59,65.09
2022-01-17,Pune,Rice,1516.76,0.67,21.01,57.66
2022-01-17,Nashik,Cotton,1467.75,0.73,20.28,51.81
2022-01-17,Kolhapur,Soybean,1610.05,2.3,19.16,64.97
2022-01-17,Nagpur,Maize,2226.06,0.64,17.51,60.27
2022-01-17,Nashik,Wheat,2156.29,1.95,18.89,58.65
2022-01-17,Pune,Wheat,1381.73,1.02,16.13,63.55
2022-01-17,Pune,Cotton,2495.55,1.27,15.0,59.32
